# Avida tasks data
# Sun Mar  5 18:13:35 2023
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not
#  3: Nand
#  4: And
#  5: OrNot
#  6: Or
#  7: AndNot
#  8: Nor
#  9: Xor
# 10: Equals

0 0 0 0 0 0 0 0 0 0 
100 0 0 0 0 0 0 0 0 0 
200 0 0 0 0 0 0 0 0 0 
300 0 0 0 0 0 0 0 0 0 
400 0 0 0 0 0 0 0 0 0 
500 0 0 0 0 0 0 0 0 0 
600 0 0 0 0 0 0 0 0 0 
700 0 0 0 0 0 0 0 0 0 
800 0 0 0 0 0 0 0 0 0 
900 0 0 0 0 0 0 0 0 0 
1000 0 0 0 0 0 0 0 0 0 
1100 0 0 0 0 0 0 0 0 0 
1200 0 0 0 0 0 0 0 0 0 
1300 0 0 0 0 0 0 0 0 0 
1400 0 0 0 0 0 0 0 0 0 
1500 0 0 0 0 0 0 0 0 0 
1600 0 0 0 0 0 0 0 0 0 
1700 0 0 0 0 0 0 0 0 0 
1800 0 0 0 0 0 0 0 0 0 
1900 0 0 0 0 0 0 0 0 0 
2000 0 0 0 0 0 0 0 0 0 
2100 0 0 0 0 0 0 0 0 0 
2200 0 0 0 0 0 0 0 0 0 
2300 0 0 0 0 0 0 0 0 0 
2400 0 0 0 0 0 0 0 0 0 
2500 0 0 0 0 0 0 0 0 0 
2600 0 0 0 0 0 0 0 0 0 
2700 0 0 0 0 0 0 0 0 0 
2800 0 0 0 0 0 0 0 0 0 
2900 0 0 0 0 0 0 0 0 0 
3000 0 0 0 0 0 0 0 0 0 
3100 0 0 0 0 0 0 0 0 0 
3200 0 0 0 0 0 0 0 0 0 
3300 0 0 0 0 0 0 0 0 0 
3400 0 0 0 0 0 0 0 0 0 
3500 0 0 0 0 0 0 0 0 0 
3600 0 0 0 0 0 0 0 0 0 
3700 0 0 0 0 0 0 0 0 0 
3800 0 0 0 0 0 0 0 0 0 
3900 0 0 0 0 0 0 0 0 0 
4000 0 0 0 0 0 0 0 0 0 
4100 0 0 0 0 0 0 0 0 0 
4200 0 0 0 0 0 0 0 0 0 
4300 0 0 0 0 0 0 0 0 0 
4400 0 0 0 0 0 0 0 0 0 
4500 0 0 0 0 0 0 0 0 0 
4600 0 0 0 0 0 0 0 0 0 
4700 0 0 0 0 0 0 0 0 0 
4800 0 0 0 0 0 0 0 0 0 
4900 0 0 0 0 0 0 0 0 0 
5000 0 0 0 0 0 0 0 0 0 
5100 0 0 0 0 0 0 0 0 0 
5200 0 0 0 0 0 0 0 0 0 
5300 0 0 0 0 0 0 0 0 0 
5400 0 0 0 0 0 0 0 0 0 
5500 0 0 0 0 0 0 0 0 0 
5600 0 0 0 0 0 0 0 0 0 
5700 0 0 0 0 0 0 0 0 0 
5800 0 0 0 0 0 0 0 0 0 
5900 0 0 0 0 0 0 0 0 0 
6000 0 0 0 0 0 0 0 0 0 
6100 0 0 0 0 0 0 0 0 0 
6200 0 0 0 0 0 0 0 0 0 
6300 0 0 0 0 0 0 0 0 0 
6400 0 0 0 0 0 0 0 0 0 
6500 11 0 0 0 0 0 0 0 0 
6600 35 0 0 0 0 0 0 0 0 
6700 68 0 0 0 0 0 0 0 0 
6800 84 0 0 0 0 0 0 0 0 
6900 83 0 0 0 0 0 0 0 0 
7000 82 0 0 0 0 0 0 0 0 
7100 78 0 0 0 0 0 0 0 0 
7200 82 0 0 0 0 0 0 0 0 
7300 90 0 0 0 0 0 0 0 0 
7400 86 2 0 0 0 0 0 0 0 
7500 85 8 0 0 0 0 0 0 0 
7600 85 0 0 0 0 0 0 0 0 
7700 87 0 0 0 0 0 0 0 0 
7800 96 0 0 0 0 0 0 0 0 
7900 86 2 0 0 0 0 0 0 0 
8000 83 7 0 0 0 0 0 0 0 
8100 79 14 0 0 0 0 0 0 0 
8200 80 8 0 0 0 0 0 0 0 
8300 81 8 0 0 0 0 0 0 0 
8400 81 6 0 0 0 0 0 0 0 
8500 79 2 0 0 0 0 0 0 0 
8600 78 0 0 0 0 0 0 0 0 
8700 88 0 0 0 0 0 0 0 0 
8800 88 0 0 0 0 0 0 0 0 
8900 79 0 0 0 0 0 0 0 0 
9000 84 0 0 0 0 0 0 0 0 
9100 80 0 0 1 0 0 0 0 0 
9200 82 0 0 0 0 0 0 0 0 
9300 91 0 0 0 0 0 0 0 0 
9400 89 0 0 0 0 0 0 0 0 
9500 83 0 0 2 0 0 0 0 0 
9600 82 0 0 1 0 0 0 0 0 
9700 80 0 0 8 0 0 0 0 0 
9800 58 0 0 20 0 0 0 0 0 
9900 62 0 0 16 0 0 0 0 0 
